ID;Text
1;I swear - I don't put pseudo code I get told off for having bad variable names and things that don't match... I put pseudocode and I still get grief!
2;Reinnstalled Xcode4 - same thing. Awful!
3;Yeah, it's definitely annoying!
4;I really hate people who downvote for no reason. Just tell me what your problem is in a comment after you downvote. God!
5;That's depressing :/ Are you sure I can't get a collection of all controls on the page with a particular class and give them a single data source?
6;yeah it working fine :) Thanks !!
7;Excellent tutorial!
8;This is amazing. Thanks so much for explaining. Excellent explanation!
9;Love this solution!
10;Sweet :) Happy hacking!
11;I want them to resize based on the length of the data they're showing.
12;Do you have jQuery loaded correctly?
13;For Python 3 the following will work.
14;If you're really worried about this, Java is not the language for you
15;I would continue running in the background and set an (called by the os when you app is REALLY killed) and there use
